tier,ingest_external_txn_id,candidate_internal_txn_ids,chosen_internal_txn_id,batch_file
TIER_2_DATE_TOLERANCE,966413597849,"['538842104850', '300915315121', '576887312255']",538842104850,ingest_batch_0001.csv
TIER_3_REFERENCE_MATCH,887089520544,"['588269116805', '771156022187']",588269116805,ingest_batch_0001.csv
TIER_1_EXACT,835803001032,"['719910457773', '475203870860', '842461864965', '223256530255', '17991905448', '68215564144', '869592125423', '705356512841', '161029840110', '961046323692', '778712413339', '134748876965', '231499868688', '597913933334', '828100129195', '732872833593', '958000852318', '271097358549', '663436293575', '648596890428', '266320339829', '504192101334', '86052369141', '87538002211', '306067547937', '575852635597', '214176426045', '109954043300', '925305231353', '56794090735', '216175046342', '316486445695', '15149193656', '823216519586', '579934389547', '619567533809', '59619221737', '45005280775', '127624532995']",719910457773,ingest_batch_0001.csv
TIER_1_EXACT,343407011653,"['824661020962', '161696674448', '844071755423', '496821694329', '133851228158', '916006821777', '247960793436', '164535240845', '581554053093', '707303040753', '494225322841', '53015696742', '937469836935', '911122414856', '886346790346', '277293527921']",824661020962,ingest_batch_0001.csv
TIER_1_EXACT,604938346277,"['862968935592', '101617294919', '192363995351', '389322511412', '866196414328', '510312409580', '742892324290', '481167657935', '114066334529', '131337710469', '454862586499', '679799366782', '529075649894', '402959158860', '558912811465', '236465589734', '411179755796', '185355302949', '731411426050', '14291092389', '439408528102', '560619692957', '629677261633', '46751784980', '191550783767', '647092811967', '109509767630', '272214218342', '747624900543', '541219568659', '213078951224', '393378757510', '847833819077', '261082264295', '459478784298', '150262174723', '471488049694', '900714240805', '916909970832']",862968935592,ingest_batch_0001.csv
TIER_1_EXACT,452842441648,"['975328207044', '812019820177', '787970103473', '967469393415', '108418901849', '80102757515']",975328207044,ingest_batch_0001.csv
TIER_1_EXACT,281382003638,"['101617294919', '192363995351', '389322511412', '866196414328', '510312409580', '742892324290', '481167657935', '114066334529', '131337710469', '454862586499', '679799366782', '529075649894', '402959158860', '558912811465', '236465589734', '411179755796', '185355302949', '731411426050', '14291092389', '439408528102', '560619692957', '629677261633', '46751784980', '191550783767', '647092811967', '109509767630', '272214218342', '747624900543', '541219568659', '213078951224', '393378757510', '847833819077', '261082264295', '459478784298', '150262174723', '471488049694', '900714240805', '916909970832']",101617294919,ingest_batch_0001.csv
TIER_1_EXACT,588351848386,"['192363995351', '389322511412', '866196414328', '510312409580', '742892324290', '481167657935', '114066334529', '131337710469', '454862586499', '679799366782', '529075649894', '402959158860', '558912811465', '236465589734', '411179755796', '185355302949', '731411426050', '14291092389', '439408528102', '560619692957', '629677261633', '46751784980', '191550783767', '647092811967', '109509767630', '272214218342', '747624900543', '541219568659', '213078951224', '393378757510', '847833819077', '261082264295', '459478784298', '150262174723', '471488049694', '900714240805', '916909970832']",192363995351,ingest_batch_0001.csv
TIER_4_AMOUNT_TOLERANCE,84440526061,"['479165463232', '382077073044', '842457345063', '823197397959', '881992115441', '728897405251']",479165463232,ingest_batch_0001.csv
TIER_1_EXACT,766426427755,"['475203870860', '842461864965', '223256530255', '17991905448', '68215564144', '869592125423', '705356512841', '161029840110', '961046323692', '778712413339', '134748876965', '231499868688', '597913933334', '828100129195', '732872833593', '958000852318', '271097358549', '663436293575', '648596890428', '266320339829', '504192101334', '86052369141', '87538002211', '306067547937', '575852635597', '214176426045', '109954043300', '925305231353', '56794090735', '216175046342', '316486445695', '15149193656', '823216519586', '579934389547', '619567533809', '59619221737', '45005280775', '127624532995']",475203870860,ingest_batch_0001.csv
